,Data Type,Poly,Kernel,SCALER,Model,MCC,NDR,AUC_N,ACC,TPR Macro,FPR,PPV Macro,F1 Macro,AUC,CLS Report,CFS Matrix,Training time,Test time
0,ToN_IoT,-1,rbf,QuantileTransformer,HHH,0.837816464,-1,-1,96.4453125,85.375,2.03125,85.52761687,84.43068332,-1,"{'0Normal': {'precision': 0.6787003610108303, 'recall': 0.94, 'f1-score': 0.7882599580712788, 'support': 200.0}, 'BruteForce': {'precision': 0.8617021276595744, 'recall': 0.675, 'f1-score': 0.7570093457943925, 'support': 120.0}, 'DDoS': {'precision': 0.8411214953271028, 'recall': 0.9, 'f1-score': 0.8695652173913043, 'support': 200.0}, 'DoS': {'precision': 0.8362068965517241, 'recall': 0.97, 'f1-score': 0.8981481481481481, 'support': 200.0}, 'MITM': {'precision': 0.9294871794871795, 'recall': 0.725, 'f1-score': 0.8146067415730337, 'support': 200.0}, 'Malware': {'precision': 0.9214285714285714, 'recall': 0.9675, 'f1-score': 0.9439024390243902, 'support': 400.0}, 'Scan': {'precision': 0.7875, 'recall': 0.945, 'f1-score': 0.8590909090909091, 'support': 200.0}, 'WebAttack': {'precision': 0.9860627177700348, 'recall': 0.7075, 'f1-score': 0.8238719068413392, 'support': 400.0}, 'accuracy': 0.8578125, 'macro avg': {'precision': 0.8552761686543773, 'recall': 0.85375, 'f1-score': 0.8443068332418495, 'support': 1920.0}, 'weighted avg': {'precision': 0.8755228945176868, 'recall': 0.8578125, 'f1-score': 0.856190132654455, 'support': 1920.0}}","[[188   7   2   1   1   0   1   0]
 [ 11  81  21   7   0   0   0   0]
 [  6   2 180   8   0   3   1   0]
 [  3   0   2 194   1   0   0   0]
 [ 12   1   7  17 145  15   1   2]
 [  2   1   1   0   4 387   5   0]
 [  6   0   0   0   1   2 189   2]
 [ 49   2   1   5   4  13  43 283]]",12.72817349,0.104656696
1,ToN_IoT,-1,poly,QuantileTransformer,HHH,0.759955774,-1,-1,94.6875,76.9375,3.035714286,79.67091879,75.18333721,-1,"{'0Normal': {'precision': 0.6058631921824105, 'recall': 0.93, 'f1-score': 0.7337278106508875, 'support': 200.0}, 'BruteForce': {'precision': 0.8333333333333334, 'recall': 0.375, 'f1-score': 0.5172413793103449, 'support': 120.0}, 'DDoS': {'precision': 0.7857142857142857, 'recall': 0.88, 'f1-score': 0.8301886792452831, 'support': 200.0}, 'DoS': {'precision': 0.7164179104477612, 'recall': 0.96, 'f1-score': 0.8205128205128205, 'support': 200.0}, 'MITM': {'precision': 0.8688524590163934, 'recall': 0.53, 'f1-score': 0.6583850931677019, 'support': 200.0}, 'Malware': {'precision': 0.8647450110864745, 'recall': 0.975, 'f1-score': 0.9165687426556992, 'support': 400.0}, 'Scan': {'precision': 0.7198443579766537, 'recall': 0.925, 'f1-score': 0.8096280087527352, 'support': 200.0}, 'WebAttack': {'precision': 0.9789029535864979, 'recall': 0.58, 'f1-score': 0.728414442700157, 'support': 400.0}, 'accuracy': 0.7875, 'macro avg': {'precision': 0.7967091879179763, 'recall': 0.7693749999999999, 'f1-score': 0.7518333721244537, 'support': 1920.0}, 'weighted avg': {'precision': 0.8212487640295261, 'recall': 0.7875, 'f1-score': 0.7763285011070153, 'support': 1920.0}}","[[186   4   5   1   1   0   3   0]
 [  7  45  38  30   0   0   0   0]
 [  7   4 176   8   1   4   0   0]
 [  5   0   0 192   2   0   0   1]
 [ 26   1   4  28 106  29   5   1]
 [  4   0   0   1   1 390   3   1]
 [  4   0   0   2   1   6 185   2]
 [ 68   0   1   6  10  22  61 232]]",13.4122436,0.158958435
2,ToN_IoT,-1,linear,QuantileTransformer,HHH,0.148226261,-1,-1,81.57552083,27.47916667,10.52827381,36.6642806,25.34987076,-1,"{'0Normal': {'precision': 0.948051948051948, 'recall': 0.365, 'f1-score': 0.5270758122743683, 'support': 200.0}, 'BruteForce': {'precision': 0.013513513513513514, 'recall': 0.008333333333333333, 'f1-score': 0.010309278350515464, 'support': 120.0}, 'DDoS': {'precision': 0.40229885057471265, 'recall': 0.175, 'f1-score': 0.24390243902439024, 'support': 200.0}, 'DoS': {'precision': 0.5585585585585585, 'recall': 0.93, 'f1-score': 0.6979362101313321, 'support': 200.0}, 'MITM': {'precision': 0.18717948717948718, 'recall': 0.365, 'f1-score': 0.24745762711864408, 'support': 200.0}, 'Malware': {'precision': 0.16434540389972144, 'recall': 0.295, 'f1-score': 0.2110912343470483, 'support': 400.0}, 'Scan': {'precision': 0.0228310502283105, 'recall': 0.025, 'f1-score': 0.02386634844868735, 'support': 200.0}, 'WebAttack': {'precision': 0.6363636363636364, 'recall': 0.035, 'f1-score': 0.06635071090047394, 'support': 400.0}, 'accuracy': 0.2630208333333333, 'macro avg': {'precision': 0.366642806046236, 'recall': 0.27479166666666666, 'f1-score': 0.2534987075744325, 'support': 1920.0}, 'weighted avg': {'precision': 0.38837980033623337, 'recall': 0.2630208333333333, 'f1-score': 0.23971957234403915, 'support': 1920.0}}","[[ 73  44  43   2   9  13  16   0]
 [  0   1   0  18  27  73   1   0]
 [  1  23  35  86  41  11   1   2]
 [  0   3   8 186   0   2   1   0]
 [  3   1   1   6  73  98  15   3]
 [  0   1   0   1 160 118 118   2]
 [  0   0   0  20  53 121   5   1]
 [  0   1   0  14  27 282  62  14]]",12.90927219,0.025962591
3,ToN_IoT,-1,sigmoid,QuantileTransformer,HHH,0.416095652,-1,-1,87.17447917,47.33333333,7.328869048,45.93613283,44.15056969,-1,"{'0Normal': {'precision': 0.3546666666666667, 'recall': 0.665, 'f1-score': 0.46260869565217394, 'support': 200.0}, 'BruteForce': {'precision': 0.22115384615384615, 'recall': 0.19166666666666668, 'f1-score': 0.20535714285714285, 'support': 120.0}, 'DDoS': {'precision': 0.5686274509803921, 'recall': 0.435, 'f1-score': 0.49291784702549574, 'support': 200.0}, 'DoS': {'precision': 0.5838926174496645, 'recall': 0.87, 'f1-score': 0.6987951807228916, 'support': 200.0}, 'MITM': {'precision': 0.1875, 'recall': 0.15, 'f1-score': 0.16666666666666666, 'support': 200.0}, 'Malware': {'precision': 0.6859903381642513, 'recall': 0.71, 'f1-score': 0.6977886977886978, 'support': 400.0}, 'Scan': {'precision': 0.379182156133829, 'recall': 0.51, 'f1-score': 0.4349680170575693, 'support': 200.0}, 'WebAttack': {'precision': 0.6938775510204082, 'recall': 0.255, 'f1-score': 0.37294332723948814, 'support': 400.0}, 'accuracy': 0.4869791666666667, 'macro avg': {'precision': 0.45936132832113225, 'recall': 0.47333333333333333, 'f1-score': 0.44150569687626573, 'support': 1920.0}, 'weighted avg': {'precision': 0.5173226018012687, 'recall': 0.4869791666666667, 'f1-score': 0.47089945238494313, 'support': 1920.0}}","[[133  36   9   5   4   9   3   1]
 [  9  23  32  37  13   4   1   1]
 [ 19  29  87  41  20   4   0   0]
 [  5   1   3 174  13   4   0   0]
 [ 63  13  19  26  30  24  18   7]
 [  4   0   0   3  49 284  56   4]
 [ 10   1   1   2   8  44 102  32]
 [132   1   2  10  23  41  89 102]]",13.19994688,0.110382318
4,ToN_IoT,-1,None,QuantileTransformer,HHH,0.148226261,-1,-1,81.57552083,27.47916667,10.52827381,36.6642806,25.34987076,-1,"{'0Normal': {'precision': 0.948051948051948, 'recall': 0.365, 'f1-score': 0.5270758122743683, 'support': 200.0}, 'BruteForce': {'precision': 0.013513513513513514, 'recall': 0.008333333333333333, 'f1-score': 0.010309278350515464, 'support': 120.0}, 'DDoS': {'precision': 0.40229885057471265, 'recall': 0.175, 'f1-score': 0.24390243902439024, 'support': 200.0}, 'DoS': {'precision': 0.5585585585585585, 'recall': 0.93, 'f1-score': 0.6979362101313321, 'support': 200.0}, 'MITM': {'precision': 0.18717948717948718, 'recall': 0.365, 'f1-score': 0.24745762711864408, 'support': 200.0}, 'Malware': {'precision': 0.16434540389972144, 'recall': 0.295, 'f1-score': 0.2110912343470483, 'support': 400.0}, 'Scan': {'precision': 0.0228310502283105, 'recall': 0.025, 'f1-score': 0.02386634844868735, 'support': 200.0}, 'WebAttack': {'precision': 0.6363636363636364, 'recall': 0.035, 'f1-score': 0.06635071090047394, 'support': 400.0}, 'accuracy': 0.2630208333333333, 'macro avg': {'precision': 0.366642806046236, 'recall': 0.27479166666666666, 'f1-score': 0.2534987075744325, 'support': 1920.0}, 'weighted avg': {'precision': 0.38837980033623337, 'recall': 0.2630208333333333, 'f1-score': 0.23971957234403915, 'support': 1920.0}}","[[ 73  44  43   2   9  13  16   0]
 [  0   1   0  18  27  73   1   0]
 [  1  23  35  86  41  11   1   2]
 [  0   3   8 186   0   2   1   0]
 [  3   1   1   6  73  98  15   3]
 [  0   1   0   1 160 118 118   2]
 [  0   0   0  20  53 121   5   1]
 [  0   1   0  14  27 282  62  14]]",12.90250921,0.007476568
5,ToN_IoT,0,rbf,QuantileTransformer,HHH,0.775998156,-1,-1,95.06510417,78.54166667,2.819940476,80.04418844,76.98010527,-1,"{'0Normal': {'precision': 0.6484641638225256, 'recall': 0.95, 'f1-score': 0.77079107505071, 'support': 200.0}, 'BruteForce': {'precision': 0.8070175438596491, 'recall': 0.38333333333333336, 'f1-score': 0.519774011299435, 'support': 120.0}, 'DDoS': {'precision': 0.7300884955752213, 'recall': 0.825, 'f1-score': 0.7746478873239436, 'support': 200.0}, 'DoS': {'precision': 0.8067226890756303, 'recall': 0.96, 'f1-score': 0.8767123287671232, 'support': 200.0}, 'MITM': {'precision': 0.8598726114649682, 'recall': 0.675, 'f1-score': 0.7563025210084033, 'support': 200.0}, 'Malware': {'precision': 0.9039812646370023, 'recall': 0.965, 'f1-score': 0.9334945586457074, 'support': 400.0}, 'Scan': {'precision': 0.6752767527675276, 'recall': 0.915, 'f1-score': 0.7770700636942676, 'support': 200.0}, 'WebAttack': {'precision': 0.9721115537848606, 'recall': 0.61, 'f1-score': 0.7496159754224271, 'support': 400.0}, 'accuracy': 0.8026041666666667, 'macro avg': {'precision': 0.8004418843734231, 'recall': 0.7854166666666667, 'f1-score': 0.7698010526515022, 'support': 1920.0}, 'weighted avg': {'precision': 0.8288355079026445, 'recall': 0.8026041666666667, 'f1-score': 0.795167640704206, 'support': 1920.0}}","[[190   4   4   0   1   0   1   0]
 [ 16  46  47  10   1   0   0   0]
 [  7   3 165  11   9   4   1   0]
 [  4   1   3 192   0   0   0   0]
 [ 11   1   6  21 135  20   3   3]
 [  2   1   0   1   6 386   4   0]
 [  7   0   0   1   1   4 183   4]
 [ 56   1   1   2   4  13  79 244]]",1.142464161,0.049572945
6,ToN_IoT,0,poly,QuantileTransformer,HHH,0.643743134,-1,-1,92.17447917,68.60416667,4.47172619,68.60435613,66.36982386,-1,"{'0Normal': {'precision': 0.6298932384341637, 'recall': 0.885, 'f1-score': 0.735966735966736, 'support': 200.0}, 'BruteForce': {'precision': 0.6615384615384615, 'recall': 0.35833333333333334, 'f1-score': 0.4648648648648649, 'support': 120.0}, 'DDoS': {'precision': 0.7417840375586855, 'recall': 0.79, 'f1-score': 0.7651331719128329, 'support': 200.0}, 'DoS': {'precision': 0.6774193548387096, 'recall': 0.945, 'f1-score': 0.7891440501043842, 'support': 200.0}, 'MITM': {'precision': 0.6987951807228916, 'recall': 0.58, 'f1-score': 0.6338797814207651, 'support': 200.0}, 'Malware': {'precision': 0.7806603773584906, 'recall': 0.8275, 'f1-score': 0.8033980582524272, 'support': 400.0}, 'Scan': {'precision': 0.4738675958188153, 'recall': 0.68, 'f1-score': 0.5585215605749486, 'support': 200.0}, 'WebAttack': {'precision': 0.824390243902439, 'recall': 0.4225, 'f1-score': 0.5586776859504132, 'support': 400.0}, 'accuracy': 0.6869791666666667, 'macro avg': {'precision': 0.6860435612715821, 'recall': 0.6860416666666667, 'f1-score': 0.6636982386309215, 'support': 1920.0}, 'weighted avg': {'precision': 0.7113316382102294, 'recall': 0.6869791666666667, 'f1-score': 0.6755953861775278, 'support': 1920.0}}","[[177   7  10   1   2   3   0   0]
 [  8  43  35  34   0   0   0   0]
 [  6  10 158  11   8   3   4   0]
 [  6   1   0 189   4   0   0   0]
 [ 23   2   5  25 116  24   3   2]
 [  2   1   2  13  18 331  33   0]
 [  4   0   1   2   3  20 136  34]
 [ 55   1   2   4  15  43 111 169]]",0.306223154,0.051197529
7,ToN_IoT,0,linear,QuantileTransformer,HHH,0.054018342,-1,-1,78.84114583,12.9375,12.09077381,35.29685427,14.13887863,-1,"{'0Normal': {'precision': 0.9787234042553191, 'recall': 0.23, 'f1-score': 0.3724696356275304, 'support': 200.0}, 'BruteForce': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 120.0}, 'DDoS': {'precision': 0.11764705882352941, 'recall': 0.01, 'f1-score': 0.018433179723502304, 'support': 200.0}, 'DoS': {'precision': 0.016029593094944512, 'recall': 0.065, 'f1-score': 0.025717111770524232, 'support': 200.0}, 'MITM': {'precision': 0.0741687979539642, 'recall': 0.29, 'f1-score': 0.11812627291242363, 'support': 200.0}, 'Malware': {'precision': 0.8871794871794871, 'recall': 0.4325, 'f1-score': 0.5815126050420169, 'support': 400.0}, 'Scan': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 200.0}, 'WebAttack': {'precision': 0.75, 'recall': 0.0075, 'f1-score': 0.01485148514851485, 'support': 400.0}, 'accuracy': 0.15364583333333334, 'macro avg': {'precision': 0.35296854266340555, 'recall': 0.129375, 'f1-score': 0.14138878627806403, 'support': 1920.0}, 'weighted avg': {'precision': 0.4646799821340346, 'recall': 0.15364583333333334, 'f1-score': 0.17994524795990044, 'support': 1920.0}}","[[ 46  32   6  72  44   0   0   0]
 [  0   0   1  92  27   0   0   0]
 [  0  31   2 146  17   4   0   0]
 [  0   0   1  13 186   0   0   0]
 [  1   0   6 121  58  13   0   1]
 [  0   0   0   1 226 173   0   0]
 [  0   0   0  15 184   1   0   0]
 [  0   1   1 351  40   4   0   3]]",0.000802994,0.007530212
8,ToN_IoT,0,sigmoid,QuantileTransformer,HHH,0.163971489,-1,-1,81.171875,28.04166667,10.75892857,27.89819798,23.02755989,-1,"{'0Normal': {'precision': 0.18395061728395062, 'recall': 0.745, 'f1-score': 0.29504950495049503, 'support': 200.0}, 'BruteForce': {'precision': 0.1557377049180328, 'recall': 0.15833333333333333, 'f1-score': 0.15702479338842976, 'support': 120.0}, 'DDoS': {'precision': 0.33152173913043476, 'recall': 0.305, 'f1-score': 0.3177083333333333, 'support': 200.0}, 'DoS': {'precision': 0.40418118466898956, 'recall': 0.58, 'f1-score': 0.47638603696098564, 'support': 200.0}, 'MITM': {'precision': 0.25, 'recall': 0.225, 'f1-score': 0.23684210526315788, 'support': 200.0}, 'Malware': {'precision': 0.10738255033557047, 'recall': 0.04, 'f1-score': 0.058287795992714025, 'support': 400.0}, 'Scan': {'precision': 0.0761904761904762, 'recall': 0.04, 'f1-score': 0.05245901639344262, 'support': 200.0}, 'WebAttack': {'precision': 0.7228915662650602, 'recall': 0.15, 'f1-score': 0.2484472049689441, 'support': 400.0}, 'accuracy': 0.246875, 'macro avg': {'precision': 0.27898197984906437, 'recall': 0.28041666666666665, 'f1-score': 0.2302755989064378, 'support': 1920.0}, 'weighted avg': {'precision': 0.31248279931520123, 'recall': 0.246875, 'f1-score': 0.21730519529768635, 'support': 1920.0}}","[[149  28  12   4   1   4   1   1]
 [ 24  19  12  31  20   7   5   2]
 [ 24  19  61  46  29  17   0   4]
 [  7   2  46 116  22   6   1   0]
 [ 36   6  11  45  45  33  20   4]
 [286  33  23  13  15  16   7   7]
 [134  13  11  13   9   7   8   5]
 [150   2   8  19  39  59  63  60]]",0.152510405,0.028666496
9,ToN_IoT,0,None,QuantileTransformer,HHH,-0.050589471,-1,-1,76.7578125,8.21875,13.28125,13.98558117,5.936831167,-1,"{'0Normal': {'precision': 0.74, 'recall': 0.185, 'f1-score': 0.296, 'support': 200.0}, 'BruteForce': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 120.0}, 'DDoS': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 200.0}, 'DoS': {'precision': 0.010115606936416185, 'recall': 0.035, 'f1-score': 0.01569506726457399, 'support': 200.0}, 'MITM': {'precision': 0.07706422018348624, 'recall': 0.42, 'f1-score': 0.13023255813953488, 'support': 200.0}, 'Malware': {'precision': 0.2916666666666667, 'recall': 0.0175, 'f1-score': 0.0330188679245283, 'support': 400.0}, 'Scan': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 200.0}, 'WebAttack': {'precision': 0.0, 'recall': 0.0, 'f1-score': 0.0, 'support': 400.0}, 'accuracy': 0.0703125, 'macro avg': {'precision': 0.13985581172332115, 'recall': 0.0821875, 'f1-score': 0.05936831166607964, 'support': 1920.0}, 'weighted avg': {'precision': 0.14692845421387873, 'recall': 0.0703125, 'f1-score': 0.052913058463871405, 'support': 1920.0}}","[[ 37   9  27  52  70   5   0   0]
 [  0   0   0  35  85   0   0   0]
 [ 12  19   0 146  22   1   0   0]
 [  0   0   0   7 193   0   0   0]
 [  1   0   3 103  84   8   0   1]
 [  0   0   1 174 218   7   0   0]
 [  0   0   0   7 190   3   0   0]
 [  0   1   0 168 228   0   3   0]]",0.000516415,0.003865957
10,ToN_IoT,2,rbf,QuantileTransformer,HHH,0.849729905,-1,-1,96.73177083,86.46875,1.867559524,86.06046954,85.57619203,-1,"{'0Normal': {'precision': 0.7027027027027027, 'recall': 0.91, 'f1-score': 0.7930283224400871, 'support': 200.0}, 'BruteForce': {'precision': 0.825, 'recall': 0.825, 'f1-score': 0.825, 'support': 120.0}, 'DDoS': {'precision': 0.896551724137931, 'recall': 0.91, 'f1-score': 0.9032258064516129, 'support': 200.0}, 'DoS': {'precision': 0.8464912280701754, 'recall': 0.965, 'f1-score': 0.9018691588785047, 'support': 200.0}, 'MITM': {'precision': 0.8936170212765957, 'recall': 0.63, 'f1-score': 0.7390029325513197, 'support': 200.0}, 'Malware': {'precision': 0.9084507042253521, 'recall': 0.9675, 'f1-score': 0.937046004842615, 'support': 400.0}, 'Scan': {'precision': 0.8214285714285714, 'recall': 0.92, 'f1-score': 0.8679245283018868, 'support': 200.0}, 'WebAttack': {'precision': 0.9905956112852664, 'recall': 0.79, 'f1-score': 0.8789986091794159, 'support': 400.0}, 'accuracy': 0.8692708333333333, 'macro avg': {'precision': 0.8606046953908244, 'recall': 0.8646875, 'f1-score': 0.8557619203306802, 'support': 1920.0}, 'weighted avg': {'precision': 0.8806129040247098, 'recall': 0.8692708333333333, 'f1-score': 0.8679312475695283, 'support': 1920.0}}","[[182  14   0   1   1   2   0   0]
 [  2  99  13   0   0   6   0   0]
 [  6   1 182   6   4   1   0   0]
 [  4   2   0 193   0   1   0   0]
 [ 13   4   4  26 126  18   8   1]
 [  3   0   2   0   4 387   4   0]
 [  9   0   0   0   1   4 184   2]
 [ 40   0   2   2   5   7  28 316]]",5.333760023,0.098419905
11,ToN_IoT,2,poly,QuantileTransformer,HHH,0.799455228,-1,-1,95.59895833,82.01041667,2.514880952,82.06640319,80.55103334,-1,"{'0Normal': {'precision': 0.5517241379310345, 'recall': 0.88, 'f1-score': 0.6782273603082851, 'support': 200.0}, 'BruteForce': {'precision': 0.7518796992481203, 'recall': 0.8333333333333334, 'f1-score': 0.7905138339920948, 'support': 120.0}, 'DDoS': {'precision': 0.8795811518324608, 'recall': 0.84, 'f1-score': 0.8593350383631714, 'support': 200.0}, 'DoS': {'precision': 0.8427947598253275, 'recall': 0.965, 'f1-score': 0.8997668997668997, 'support': 200.0}, 'MITM': {'precision': 0.8440366972477065, 'recall': 0.46, 'f1-score': 0.5954692556634305, 'support': 200.0}, 'Malware': {'precision': 0.9202898550724637, 'recall': 0.9525, 'f1-score': 0.9361179361179361, 'support': 400.0}, 'Scan': {'precision': 0.8144796380090498, 'recall': 0.9, 'f1-score': 0.8551068883610451, 'support': 200.0}, 'WebAttack': {'precision': 0.9605263157894737, 'recall': 0.73, 'f1-score': 0.8295454545454546, 'support': 400.0}, 'accuracy': 0.8239583333333333, 'macro avg': {'precision': 0.8206640318694546, 'recall': 0.8201041666666666, 'f1-score': 0.8055103333897897, 'support': 1920.0}, 'weighted avg': {'precision': 0.8484767235539924, 'recall': 0.8239583333333333, 'f1-score': 0.8222438046025906, 'support': 1920.0}}","[[176  13   2   5   1   1   2   0]
 [  8 100  10   2   0   0   0   0]
 [  7  11 168  10   1   2   1   0]
 [  4   0   1 193   2   0   0   0]
 [ 48   8   8  13  92  19   4   8]
 [  8   1   0   2   4 381   4   0]
 [  8   0   1   0   3   4 180   4]
 [ 60   0   1   4   6   7  30 292]]",7.504230976,0.145661116
