Data Type,Drop Cls,Kernel,SCALER,Model,MCC,NDR,AUC_N,ACC,TPR Macro,FPR,PPV Macro,F1 Macro,AUC,CLS Report,CFS Matrix,Training time,Test time
UNSW_NB15,*,rbf,QuantileTransformer,KNN,0.42363580466017786,-1,-1,87.54355400696863,48.24107142857142,7.117969138875062,48.9896760402369,48.211491718703904,-1,"{'0Normal': {'precision': 0.985, 'recall': 0.985, 'f1-score': 0.985, 'support': 200.0}, 'Analysis': {'precision': 0.3018181818181818, 'recall': 0.415, 'f1-score': 0.3494736842105263, 'support': 200.0}, 'Backdoor': {'precision': 0.20441988950276244, 'recall': 0.185, 'f1-score': 0.1942257217847769, 'support': 200.0}, 'Exploits': {'precision': 0.45161290322580644, 'recall': 0.42, 'f1-score': 0.43523316062176165, 'support': 200.0}, 'Fuzzers': {'precision': 0.2318840579710145, 'recall': 0.16, 'f1-score': 0.1893491124260355, 'support': 200.0}, 'Reconnaissance': {'precision': 0.5822222222222222, 'recall': 0.655, 'f1-score': 0.6164705882352941, 'support': 200.0}, 'Shellcode': {'precision': 0.7038834951456311, 'recall': 0.725, 'f1-score': 0.7142857142857142, 'support': 200.0}, 'Worms': {'precision': 0.4583333333333333, 'recall': 0.3142857142857143, 'f1-score': 0.3728813559322034, 'support': 35.0}, 'accuracy': 0.5017421602787456, 'macro avg': {'precision': 0.489896760402369, 'recall': 0.48241071428571425, 'f1-score': 0.482114917187039, 'support': 1435.0}, 'weighted avg': {'precision': 0.49352600462981905, 'recall': 0.5017421602787456, 'f1-score': 0.4946748737076299, 'support': 1435.0}}","[[197   1   0   0   0   0   2   0]
 [  0  83  65  17  35   0   0   0]
 [  0  77  37  17  36  14  16   3]
 [  2  33  28  84  27  14   6   6]
 [  1  66  42  38  32   9  10   2]
 [  0  15   7  14   8 131  23   2]
 [  0   0   1   3   0  51 145   0]
 [  0   0   1  13   0   6   4  11]]",0.0004985332489013672,0.007196187973022461
UNSW_NB15,*,rbf,QuantileTransformer,LDA,0.5126242741569221,-1,-1,89.37282229965156,59.8125,6.072672971627675,57.13761386012111,56.521184447738236,-1,"{'0Normal': {'precision': 0.9704433497536946, 'recall': 0.985, 'f1-score': 0.977667493796526, 'support': 200.0}, 'Analysis': {'precision': 0.5327868852459017, 'recall': 0.325, 'f1-score': 0.4037267080745342, 'support': 200.0}, 'Backdoor': {'precision': 0.2851851851851852, 'recall': 0.385, 'f1-score': 0.32765957446808514, 'support': 200.0}, 'Exploits': {'precision': 0.6766917293233082, 'recall': 0.45, 'f1-score': 0.5405405405405406, 'support': 200.0}, 'Fuzzers': {'precision': 0.25728155339805825, 'recall': 0.265, 'f1-score': 0.26108374384236455, 'support': 200.0}, 'Reconnaissance': {'precision': 0.6822429906542056, 'recall': 0.73, 'f1-score': 0.7053140096618358, 'support': 200.0}, 'Shellcode': {'precision': 0.8407960199004975, 'recall': 0.845, 'f1-score': 0.8428927680798004, 'support': 200.0}, 'Worms': {'precision': 0.32558139534883723, 'recall': 0.8, 'f1-score': 0.462809917355372, 'support': 35.0}, 'accuracy': 0.5749128919860628, 'macro avg': {'precision': 0.5713761386012111, 'recall': 0.598125, 'f1-score': 0.5652118444773824, 'support': 1435.0}, 'weighted avg': {'precision': 0.5996382519368498, 'recall': 0.5749128919860628, 'f1-score': 0.5769862820907145, 'support': 1435.0}}","[[197   1   0   0   0   0   2   0]
 [  1  65  72   1  60   0   0   1]
 [  1  28  77  10  45  25   7   7]
 [  1   7  36  90  35   3   7  21]
 [  2  17  73  30  53   7  11   7]
 [  1   4  12   1  13 146   1  22]
 [  0   0   0   0   0  31 169   0]
 [  0   0   0   1   0   2   4  28]]",0.018136978149414062,0.00021910667419433594
UNSW_NB15,*,rbf,QuantileTransformer,MLP,0.5780937697748523,-1,-1,90.74912891986062,62.39285714285714,5.286212045793928,67.30969131874572,63.046072601010316,-1,"{'0Normal': {'precision': 0.9752475247524752, 'recall': 0.985, 'f1-score': 0.9800995024875623, 'support': 200.0}, 'Analysis': {'precision': 0.6666666666666666, 'recall': 0.27, 'f1-score': 0.38434163701067614, 'support': 200.0}, 'Backdoor': {'precision': 0.35365853658536583, 'recall': 0.435, 'f1-score': 0.3901345291479821, 'support': 200.0}, 'Exploits': {'precision': 0.6846153846153846, 'recall': 0.445, 'f1-score': 0.5393939393939394, 'support': 200.0}, 'Fuzzers': {'precision': 0.3032069970845481, 'recall': 0.52, 'f1-score': 0.3830570902394107, 'support': 200.0}, 'Reconnaissance': {'precision': 0.8308457711442786, 'recall': 0.835, 'f1-score': 0.8329177057356607, 'support': 200.0}, 'Shellcode': {'precision': 0.9253731343283582, 'recall': 0.93, 'f1-score': 0.9276807980049875, 'support': 200.0}, 'Worms': {'precision': 0.6451612903225806, 'recall': 0.5714285714285714, 'f1-score': 0.606060606060606, 'support': 35.0}, 'accuracy': 0.6299651567944251, 'macro avg': {'precision': 0.6730969131874572, 'recall': 0.6239285714285714, 'f1-score': 0.6304607260101032, 'support': 1435.0}, 'weighted avg': {'precision': 0.6763090231335929, 'recall': 0.6299651567944251, 'f1-score': 0.6332663147150975, 'support': 1435.0}}","[[197   1   0   1   0   0   1   0]
 [  0  54  64   3  78   1   0   0]
 [  1  17  87   6  78   3   7   1]
 [  2   5  28  89  57  10   3   6]
 [  1   3  59  23 104   5   3   2]
 [  0   1   7   0  25 167   0   0]
 [  1   0   0   1   0  10 186   2]
 [  0   0   1   7   1   5   1  20]]",1.6134135723114014,0.0006113052368164062
UNSW_NB15,*,rbf,QuantileTransformer,LGBM,0.5515276522616499,-1,-1,90.31358885017423,64.66071428571429,5.535092085614734,64.04172001097412,64.30001073390447,-1,"{'0Normal': {'precision': 0.9752475247524752, 'recall': 0.985, 'f1-score': 0.9800995024875623, 'support': 200.0}, 'Analysis': {'precision': 0.2887700534759358, 'recall': 0.27, 'f1-score': 0.27906976744186046, 'support': 200.0}, 'Backdoor': {'precision': 0.26576576576576577, 'recall': 0.295, 'f1-score': 0.2796208530805687, 'support': 200.0}, 'Exploits': {'precision': 0.5441176470588235, 'recall': 0.555, 'f1-score': 0.5495049504950495, 'support': 200.0}, 'Fuzzers': {'precision': 0.3333333333333333, 'recall': 0.31, 'f1-score': 0.3212435233160622, 'support': 200.0}, 'Reconnaissance': {'precision': 0.8763440860215054, 'recall': 0.815, 'f1-score': 0.8445595854922279, 'support': 200.0}, 'Shellcode': {'precision': 0.9478672985781991, 'recall': 1.0, 'f1-score': 0.9732360097323601, 'support': 200.0}, 'Worms': {'precision': 0.8918918918918919, 'recall': 0.9428571428571428, 'f1-score': 0.9166666666666667, 'support': 35.0}, 'accuracy': 0.6125435540069687, 'macro avg': {'precision': 0.6404172001097412, 'recall': 0.6466071428571429, 'f1-score': 0.6430001073390448, 'support': 1435.0}, 'weighted avg': {'precision': 0.6115019916469853, 'recall': 0.6125435540069687, 'f1-score': 0.611533220726461, 'support': 1435.0}}","[[197   1   1   1   0   0   0   0]
 [  1  54  84  17  41   3   0   0]
 [  1  65  59  20  40  10   4   1]
 [  0  27  19 111  31   6   3   3]
 [  2  33  53  42  62   4   4   0]
 [  1   7   6  11  12 163   0   0]
 [  0   0   0   0   0   0 200   0]
 [  0   0   0   2   0   0   0  33]]",1.639897108078003,0.019843101501464844
UNSW_NB15,*,rbf,QuantileTransformer,RF,0.5587605435016414,-1,-1,90.47038327526133,64.92857142857143,5.445495271279244,63.517211478277005,64.17527473405082,-1,"{'0Normal': {'precision': 0.9656862745098039, 'recall': 0.985, 'f1-score': 0.9752475247524752, 'support': 200.0}, 'Analysis': {'precision': 0.2864583333333333, 'recall': 0.275, 'f1-score': 0.28061224489795916, 'support': 200.0}, 'Backdoor': {'precision': 0.3033175355450237, 'recall': 0.32, 'f1-score': 0.31143552311435524, 'support': 200.0}, 'Exploits': {'precision': 0.5677083333333334, 'recall': 0.545, 'f1-score': 0.5561224489795918, 'support': 200.0}, 'Fuzzers': {'precision': 0.33152173913043476, 'recall': 0.305, 'f1-score': 0.3177083333333333, 'support': 200.0}, 'Reconnaissance': {'precision': 0.85, 'recall': 0.85, 'f1-score': 0.85, 'support': 200.0}, 'Shellcode': {'precision': 0.9345794392523364, 'recall': 1.0, 'f1-score': 0.966183574879227, 'support': 200.0}, 'Worms': {'precision': 0.8421052631578947, 'recall': 0.9142857142857143, 'f1-score': 0.8767123287671234, 'support': 35.0}, 'accuracy': 0.6188153310104529, 'macro avg': {'precision': 0.63517211478277, 'recall': 0.6492857142857142, 'f1-score': 0.6417527473405081, 'support': 1435.0}, 'weighted avg': {'precision': 0.6113784078267452, 'recall': 0.6188153310104529, 'f1-score': 0.6147364888489462, 'support': 1435.0}}","[[197   1   0   2   0   0   0   0]
 [  1  55  81  16  46   1   0   0]
 [  1  64  64  16  37  10   6   2]
 [  2  26  18 109  28  11   2   4]
 [  2  38  43  45  61   7   4   0]
 [  1   8   5   4  12 170   0   0]
 [  0   0   0   0   0   0 200   0]
 [  0   0   0   0   0   1   2  32]]",0.7060925960540771,0.01604294776916504
UNSW_NB15,*,rbf,QuantileTransformer,NuSVC,0.5354804366945208,-1,-1,89.80836236933798,59.31249999999999,5.823792931806869,59.56510551524134,58.17978049805787,-1,"{'0Normal': {'precision': 0.9752475247524752, 'recall': 0.985, 'f1-score': 0.9800995024875623, 'support': 200.0}, 'Analysis': {'precision': 0.30933333333333335, 'recall': 0.58, 'f1-score': 0.40347826086956523, 'support': 200.0}, 'Backdoor': {'precision': 0.3277777777777778, 'recall': 0.295, 'f1-score': 0.3105263157894737, 'support': 200.0}, 'Exploits': {'precision': 0.6363636363636364, 'recall': 0.42, 'f1-score': 0.5060240963855421, 'support': 200.0}, 'Fuzzers': {'precision': 0.25, 'recall': 0.105, 'f1-score': 0.14788732394366197, 'support': 200.0}, 'Reconnaissance': {'precision': 0.8429319371727748, 'recall': 0.805, 'f1-score': 0.823529411764706, 'support': 200.0}, 'Shellcode': {'precision': 0.8059071729957806, 'recall': 0.955, 'f1-score': 0.8741418764302059, 'support': 200.0}, 'Worms': {'precision': 0.6176470588235294, 'recall': 0.6, 'f1-score': 0.608695652173913, 'support': 35.0}, 'accuracy': 0.5923344947735192, 'macro avg': {'precision': 0.5956510551524135, 'recall': 0.5931249999999999, 'f1-score': 0.5817978049805788, 'support': 1435.0}, 'weighted avg': {'precision': 0.5931218979358739, 'recall': 0.5923344947735192, 'f1-score': 0.578705021156955, 'support': 1435.0}}","[[197   1   0   0   0   0   2   0]
 [  0 116  71   5   8   0   0   0]
 [  2  81  59   8  26   4  18   2]
 [  2  50  20  84  20   7   8   9]
 [  1 108  22  29  21   8   9   2]
 [  0  19   7   2   6 161   5   0]
 [  0   0   0   0   0   9 191   0]
 [  0   0   1   4   3   2   4  21]]",0.7128305435180664,0.19259262084960938
UNSW_NB15,*,rbf,QuantileTransformer,SGD,0.4838989005498931,-1,-1,87.73519163763066,46.86607142857143,7.008461921353907,63.68925923623726,45.174577248665855,-1,"{'0Normal': {'precision': 0.9563106796116505, 'recall': 0.985, 'f1-score': 0.9704433497536945, 'support': 200.0}, 'Analysis': {'precision': 0.8888888888888888, 'recall': 0.16, 'f1-score': 0.27118644067796616, 'support': 200.0}, 'Backdoor': {'precision': 0.2381596752368065, 'recall': 0.88, 'f1-score': 0.3748668796592119, 'support': 200.0}, 'Exploits': {'precision': 0.6143790849673203, 'recall': 0.47, 'f1-score': 0.5325779036827196, 'support': 200.0}, 'Fuzzers': {'precision': 0.25, 'recall': 0.05, 'f1-score': 0.08333333333333334, 'support': 200.0}, 'Reconnaissance': {'precision': 0.8297872340425532, 'recall': 0.195, 'f1-score': 0.3157894736842105, 'support': 200.0}, 'Shellcode': {'precision': 0.8731707317073171, 'recall': 0.895, 'f1-score': 0.8839506172839507, 'support': 200.0}, 'Worms': {'precision': 0.4444444444444444, 'recall': 0.11428571428571428, 'f1-score': 0.1818181818181818, 'support': 35.0}, 'accuracy': 0.5094076655052264, 'macro avg': {'precision': 0.6368925923623726, 'recall': 0.4686607142857143, 'f1-score': 0.45174577248665854, 'support': 1435.0}, 'weighted avg': {'precision': 0.6590207766177442, 'recall': 0.5094076655052264, 'f1-score': 0.48278274284226735, 'support': 1435.0}}","[[197   1   2   0   0   0   0   0]
 [  1  32 156   9   2   0   0   0]
 [  2   0 176   4   7   2   7   2]
 [  2   2  84  94  12   2   3   1]
 [  2   1 153  28  10   1   4   1]
 [  2   0 142   7   2  39   8   0]
 [  0   0  19   0   0   1 179   1]
 [  0   0   7  11   7   2   4   4]]",0.17856502532958984,0.0004038810729980469
UNSW_NB15,['*'],rbf,QuantileTransformer,KNN_FTSP,0.445594346180816,-1,-1,88.03135888501743,49.69642857142857,6.839223494275759,50.71326104639604,50.109362781232804,-1,"{'0Normal': {'precision': 0.9949238578680203, 'recall': 0.98, 'f1-score': 0.9874055415617129, 'support': 200.0}, 'Analysis': {'precision': 0.2697095435684647, 'recall': 0.325, 'f1-score': 0.2947845804988662, 'support': 200.0}, 'Backdoor': {'precision': 0.23232323232323232, 'recall': 0.23, 'f1-score': 0.23115577889447236, 'support': 200.0}, 'Exploits': {'precision': 0.4111111111111111, 'recall': 0.37, 'f1-score': 0.3894736842105263, 'support': 200.0}, 'Fuzzers': {'precision': 0.25888324873096447, 'recall': 0.255, 'f1-score': 0.25692695214105793, 'support': 200.0}, 'Reconnaissance': {'precision': 0.7472527472527473, 'recall': 0.68, 'f1-score': 0.7120418848167539, 'support': 200.0}, 'Shellcode': {'precision': 0.8095238095238095, 'recall': 0.85, 'f1-score': 0.8292682926829269, 'support': 200.0}, 'Worms': {'precision': 0.3333333333333333, 'recall': 0.2857142857142857, 'f1-score': 0.30769230769230765, 'support': 35.0}, 'accuracy': 0.5212543554006969, 'macro avg': {'precision': 0.5071326104639604, 'recall': 0.4969642857142857, 'f1-score': 0.501093627812328, 'support': 1435.0}, 'weighted avg': {'precision': 0.5271164994720117, 'recall': 0.5212543554006969, 'f1-score': 0.5233314102651527, 'support': 1435.0}}","[[196   2   0   0   0   0   0   2]
 [  0  65  70  22  40   3   0   0]
 [  0  71  46  26  39   7   9   2]
 [  1  32  23  74  47   9   7   7]
 [  0  56  40  35  51   9   7   2]
 [  0  15   6  10  14 136  14   5]
 [  0   0   6   6   4  12 170   2]
 [  0   0   7   7   2   6   3  10]]",0.002567768096923828,0.032681941986083984
UNSW_NB15,['*'],rbf,QuantileTransformer,LDA_FTSP,0.45229408242165553,-1,-1,88.13588850174216,52.42857142857142,6.779492284718766,52.23508376650261,51.93296116669597,-1,"{'0Normal': {'precision': 0.9948979591836735, 'recall': 0.975, 'f1-score': 0.984848484848485, 'support': 200.0}, 'Analysis': {'precision': 0.3539518900343643, 'recall': 0.515, 'f1-score': 0.41955193482688397, 'support': 200.0}, 'Backdoor': {'precision': 0.22395833333333334, 'recall': 0.215, 'f1-score': 0.2193877551020408, 'support': 200.0}, 'Exploits': {'precision': 0.3971631205673759, 'recall': 0.28, 'f1-score': 0.32844574780058655, 'support': 200.0}, 'Fuzzers': {'precision': 0.28125, 'recall': 0.27, 'f1-score': 0.2755102040816327, 'support': 200.0}, 'Reconnaissance': {'precision': 0.7241379310344828, 'recall': 0.63, 'f1-score': 0.6737967914438503, 'support': 200.0}, 'Shellcode': {'precision': 0.7644230769230769, 'recall': 0.795, 'f1-score': 0.7794117647058824, 'support': 200.0}, 'Worms': {'precision': 0.43902439024390244, 'recall': 0.5142857142857142, 'f1-score': 0.4736842105263158, 'support': 35.0}, 'accuracy': 0.5254355400696864, 'macro avg': {'precision': 0.5223508376650261, 'recall': 0.5242857142857142, 'f1-score': 0.5193296116669597, 'support': 1435.0}, 'weighted avg': {'precision': 0.5319319274381867, 'recall': 0.5254355400696864, 'f1-score': 0.5245780375820859, 'support': 1435.0}}","[[195   1   2   0   0   0   0   2]
 [  0 103  35  19  41   2   0   0]
 [  0  71  43  17  49   7  11   2]
 [  1  44  38  56  30  10  12   9]
 [  0  52  46  30  54   9   7   2]
 [  0  13  11  11  16 126  17   6]
 [  0   7  11   6   1  14 159   2]
 [  0   0   6   2   1   6   2  18]]",0.0027625560760498047,0.0001678466796875
UNSW_NB15,['*'],rbf,QuantileTransformer,MLP_FTSP,0.447012143510338,-1,-1,88.06620209059234,49.82142857142857,6.819313091090094,50.45521614662074,50.09217512979694,-1,"{'0Normal': {'precision': 0.9949238578680203, 'recall': 0.98, 'f1-score': 0.9874055415617129, 'support': 200.0}, 'Analysis': {'precision': 0.30456852791878175, 'recall': 0.3, 'f1-score': 0.3022670025188917, 'support': 200.0}, 'Backdoor': {'precision': 0.2275132275132275, 'recall': 0.215, 'f1-score': 0.2210796915167095, 'support': 200.0}, 'Exploits': {'precision': 0.38860103626943004, 'recall': 0.375, 'f1-score': 0.38167938931297707, 'support': 200.0}, 'Fuzzers': {'precision': 0.2743362831858407, 'recall': 0.31, 'f1-score': 0.29107981220657275, 'support': 200.0}, 'Reconnaissance': {'precision': 0.6875, 'recall': 0.715, 'f1-score': 0.7009803921568628, 'support': 200.0}, 'Shellcode': {'precision': 0.8256410256410256, 'recall': 0.805, 'f1-score': 0.8151898734177216, 'support': 200.0}, 'Worms': {'precision': 0.3333333333333333, 'recall': 0.2857142857142857, 'f1-score': 0.30769230769230765, 'support': 35.0}, 'accuracy': 0.5226480836236934, 'macro avg': {'precision': 0.5045521614662074, 'recall': 0.4982142857142857, 'f1-score': 0.5009217512979695, 'support': 1435.0}, 'weighted avg': {'precision': 0.5242393437950745, 'recall': 0.5226480836236934, 'f1-score': 0.5231397709460073, 'support': 1435.0}}","[[196   2   0   0   0   0   0   2]
 [  0  60  65  22  47   6   0   0]
 [  0  64  43  28  43  12   8   2]
 [  1  26  23  75  50  12   6   7]
 [  0  36  42  38  62  13   7   2]
 [  0   9   6  11  16 143  10   5]
 [  0   0   4  12   5  16 161   2]
 [  0   0   6   7   3   6   3  10]]",0.9706308841705322,0.0005295276641845703
UNSW_NB15,['*'],rbf,QuantileTransformer,LGBM_FTSP,0.41271702985977055,-1,-1,87.29965156794425,46.776785714285715,7.257341961174714,45.1286161104359,45.79643537047162,-1,"{'0Normal': {'precision': 0.8732394366197183, 'recall': 0.93, 'f1-score': 0.9007263922518159, 'support': 200.0}, 'Analysis': {'precision': 0.23618090452261306, 'recall': 0.235, 'f1-score': 0.23558897243107765, 'support': 200.0}, 'Backdoor': {'precision': 0.2046783625730994, 'recall': 0.175, 'f1-score': 0.18867924528301888, 'support': 200.0}, 'Exploits': {'precision': 0.3989071038251366, 'recall': 0.365, 'f1-score': 0.381201044386423, 'support': 200.0}, 'Fuzzers': {'precision': 0.27411167512690354, 'recall': 0.27, 'f1-score': 0.27204030226700254, 'support': 200.0}, 'Reconnaissance': {'precision': 0.6431718061674009, 'recall': 0.73, 'f1-score': 0.6838407494145199, 'support': 200.0}, 'Shellcode': {'precision': 0.8, 'recall': 0.78, 'f1-score': 0.7898734177215191, 'support': 200.0}, 'Worms': {'precision': 0.18, 'recall': 0.2571428571428571, 'f1-score': 0.2117647058823529, 'support': 35.0}, 'accuracy': 0.49198606271777, 'macro avg': {'precision': 0.451286161104359, 'recall': 0.4677678571428572, 'f1-score': 0.4579643537047162, 'support': 1435.0}, 'weighted avg': {'precision': 0.48247934339161974, 'recall': 0.49198606271777, 'f1-score': 0.48627302401181727, 'support': 1435.0}}","[[186   2   0   0   0   0   8   4]
 [  6  47  70  26  41   7   0   3]
 [  7  65  35  23  42  19   7   2]
 [  8  29  16  73  37  13   5  19]
 [  6  45  34  33  54  15   7   6]
 [  0  11   6   9  14 146  10   4]
 [  0   0   4  13   7  17 156   3]
 [  0   0   6   6   2  10   2   9]]",1.0762135982513428,0.00774073600769043
UNSW_NB15,['*'],rbf,QuantileTransformer,RF_FTSP,0.4416981360656332,-1,-1,87.9616724738676,47.97321428571429,6.879044300647089,48.68943715816753,48.04528832560865,-1,"{'0Normal': {'precision': 0.9948979591836735, 'recall': 0.975, 'f1-score': 0.984848484848485, 'support': 200.0}, 'Analysis': {'precision': 0.2660098522167488, 'recall': 0.27, 'f1-score': 0.2679900744416874, 'support': 200.0}, 'Backdoor': {'precision': 0.21505376344086022, 'recall': 0.2, 'f1-score': 0.2072538860103627, 'support': 200.0}, 'Exploits': {'precision': 0.38860103626943004, 'recall': 0.375, 'f1-score': 0.38167938931297707, 'support': 200.0}, 'Fuzzers': {'precision': 0.32038834951456313, 'recall': 0.33, 'f1-score': 0.32512315270935965, 'support': 200.0}, 'Reconnaissance': {'precision': 0.6297872340425532, 'recall': 0.74, 'f1-score': 0.6804597701149425, 'support': 200.0}, 'Shellcode': {'precision': 0.817258883248731, 'recall': 0.805, 'f1-score': 0.8110831234256927, 'support': 200.0}, 'Worms': {'precision': 0.2631578947368421, 'recall': 0.14285714285714285, 'f1-score': 0.18518518518518517, 'support': 35.0}, 'accuracy': 0.5184668989547039, 'macro avg': {'precision': 0.48689437158167526, 'recall': 0.47973214285714294, 'f1-score': 0.48045288325608654, 'support': 1435.0}, 'weighted avg': {'precision': 0.5126201685708024, 'recall': 0.5184668989547039, 'f1-score': 0.5144035244976883, 'support': 1435.0}}","[[195   2   0   0   0   0   0   3]
 [  0  54  73  27  40   6   0   0]
 [  0  68  40  27  35  21   8   1]
 [  1  28  21  75  47  15   7   6]
 [  0  37  35  38  66  15   7   2]
 [  0  14   5  10  11 148  11   1]
 [  0   0   5   8   4  21 161   1]
 [  0   0   7   8   3   9   3   5]]",0.5169167518615723,0.011203765869140625
UNSW_NB15,['*'],rbf,QuantileTransformer,NuSVC_FTSP,0.4459385954479333,-1,-1,87.89198606271778,47.42857142857142,6.918865107018417,52.62624938290197,47.724458315388866,-1,"{'0Normal': {'precision': 0.9949238578680203, 'recall': 0.98, 'f1-score': 0.9874055415617129, 'support': 200.0}, 'Analysis': {'precision': 0.22905027932960895, 'recall': 0.41, 'f1-score': 0.2939068100358423, 'support': 200.0}, 'Backdoor': {'precision': 0.27303754266211605, 'recall': 0.4, 'f1-score': 0.3245436105476674, 'support': 200.0}, 'Exploits': {'precision': 0.4262295081967213, 'recall': 0.39, 'f1-score': 0.40731070496083555, 'support': 200.0}, 'Fuzzers': {'precision': 0.41025641025641024, 'recall': 0.08, 'f1-score': 0.13389121338912133, 'support': 200.0}, 'Reconnaissance': {'precision': 0.8074534161490683, 'recall': 0.65, 'f1-score': 0.7202216066481996, 'support': 200.0}, 'Shellcode': {'precision': 0.8191489361702128, 'recall': 0.77, 'f1-score': 0.7938144329896908, 'support': 200.0}, 'Worms': {'precision': 0.25, 'recall': 0.11428571428571428, 'f1-score': 0.1568627450980392, 'support': 35.0}, 'accuracy': 0.5156794425087108, 'macro avg': {'precision': 0.5262624938290197, 'recall': 0.47428571428571425, 'f1-score': 0.4772445831538887, 'support': 1435.0}, 'weighted avg': {'precision': 0.5580278676839244, 'recall': 0.5156794425087108, 'f1-score': 0.5140829129651884, 'support': 1435.0}}","[[196   2   0   0   0   0   0   2]
 [  0  82  77  27  13   1   0   0]
 [  0  82  80  21   5   5   7   0]
 [  1  50  50  78   3   7   6   5]
 [  0  80  58  34  16   4   7   1]
 [  0  30  16  10   1 130  11   2]
 [  0  16   7   8   1  12 154   2]
 [  0  16   5   5   0   2   3   4]]",0.36691784858703613,0.10544681549072266
UNSW_NB15,['*'],rbf,QuantileTransformer,SGD_FTSP,0.45378017806832927,-1,-1,88.20557491289198,50.026785714285715,6.739671478347437,50.534061731751635,50.12789912606679,-1,"{'0Normal': {'precision': 0.98, 'recall': 0.98, 'f1-score': 0.98, 'support': 200.0}, 'Analysis': {'precision': 0.2966507177033493, 'recall': 0.31, 'f1-score': 0.3031784841075794, 'support': 200.0}, 'Backdoor': {'precision': 0.22477064220183487, 'recall': 0.245, 'f1-score': 0.23444976076555024, 'support': 200.0}, 'Exploits': {'precision': 0.46, 'recall': 0.345, 'f1-score': 0.39428571428571435, 'support': 200.0}, 'Fuzzers': {'precision': 0.2796208530805687, 'recall': 0.295, 'f1-score': 0.2871046228710462, 'support': 200.0}, 'Reconnaissance': {'precision': 0.7035175879396985, 'recall': 0.7, 'f1-score': 0.7017543859649122, 'support': 200.0}, 'Shellcode': {'precision': 0.7981651376146789, 'recall': 0.87, 'f1-score': 0.8325358851674641, 'support': 200.0}, 'Worms': {'precision': 0.3, 'recall': 0.2571428571428571, 'f1-score': 0.2769230769230769, 'support': 35.0}, 'accuracy': 0.5282229965156794, 'macro avg': {'precision': 0.5053406173175163, 'recall': 0.5002678571428572, 'f1-score': 0.5012789912606679, 'support': 1435.0}, 'weighted avg': {'precision': 0.5289512109463597, 'recall': 0.5282229965156794, 'f1-score': 0.5270760127698683, 'support': 1435.0}}","[[196   2   0   0   0   0   0   2]
 [  0  62  73  18  42   5   0   0]
 [  0  68  49  16  42  12  10   3]
 [  3  28  27  69  48  10   7   8]
 [  1  37  51  28  59  14   8   2]
 [  0  11   8   8  14 140  15   4]
 [  0   1   4   5   3  11 174   2]
 [  0   0   6   6   3   7   4   9]]",0.013735532760620117,0.00044345855712890625
UNSW_NB15,['*'],poly,QuantileTransformer,KNN_FTSP,0.2392988364409801,-1,-1,83.53658536585365,32.982142857142854,9.40766550522648,41.32276188920368,33.6794579574763,-1,"{'0Normal': {'precision': 1.0, 'recall': 0.205, 'f1-score': 0.3402489626556016, 'support': 200.0}, 'Analysis': {'precision': 0.18705035971223022, 'recall': 0.26, 'f1-score': 0.2175732217573222, 'support': 200.0}, 'Backdoor': {'precision': 0.1285140562248996, 'recall': 0.16, 'f1-score': 0.1425389755011136, 'support': 200.0}, 'Exploits': {'precision': 0.21839080459770116, 'recall': 0.19, 'f1-score': 0.20320855614973266, 'support': 200.0}, 'Fuzzers': {'precision': 0.2222222222222222, 'recall': 0.27, 'f1-score': 0.2437923250564334, 'support': 200.0}, 'Reconnaissance': {'precision': 0.5475113122171946, 'recall': 0.605, 'f1-score': 0.5748218527315915, 'support': 200.0}, 'Shellcode': {'precision': 0.7164179104477612, 'recall': 0.72, 'f1-score': 0.7182044887780548, 'support': 200.0}, 'Worms': {'precision': 0.2857142857142857, 'recall': 0.22857142857142856, 'f1-score': 0.25396825396825395, 'support': 35.0}, 'accuracy': 0.34146341463414637, 'macro avg': {'precision': 0.41322761889203685, 'recall': 0.32982142857142854, 'f1-score': 0.336794579574763, 'support': 1435.0}, 'weighted avg': {'precision': 0.4278894307208374, 'recall': 0.34146341463414637, 'f1-score': 0.3463181640521664, 'support': 1435.0}}","[[ 41  29  27  29  34  24  14   2]
 [  0  52  71  27  41   6   2   1]
 [  0  79  32  26  40  15   6   2]
 [  0  37  28  38  44  28  16   9]
 [  0  49  54  22  54  10   8   3]
 [  0  20  23  11  15 121   7   3]
 [  0  10   9  15   9  13 144   0]
 [  0   2   5   6   6   4   4   8]]",0.002562284469604492,0.0357966423034668
